公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
000722,湖南发展,湖南发展集团股份有限公司,"HUNAN DEVELOPMENT GROUP CO.,LTD",湖南省长沙高新开发区火炬城M0组团,722,湖南发展,1997/5/22,"464,158,282","464,155,161",,,,0,0,华中,湖南,衡阳市,D 水电煤气,www.hnfzgf.com
000723,美锦能源,山西美锦能源股份有限公司,SHANXI MEIJIN ENERGY CO.，LTD,山西省太原市清徐县贯中大厦,723,美锦能源,1997/5/15,"1,959,198,390","194,861,253",,,,0,0,华北,山西,太原市,C 制造业,www.mjenergy.com
000725,京东方Ａ,京东方科技集团股份有限公司,"BOE TECHNOLOGY GROUP CO., LTD",北京市朝阳区酒仙桥路10号,725,京东方Ａ,2001/1/12,"33,950,977,574","23,353,337,894",200725,京东方Ｂ,1997/6/10,"1,202,090,169","1,202,090,169",华北,北京,北京市,C 制造业,www.boe.com.cn
000726,鲁 泰Ａ,鲁泰纺织股份有限公司,"LU THAI TEXTILE CO., LTD",山东省淄博市高新技术开发区铭波路11号,726,鲁 泰Ａ,2000/12/25,"561,883,400","560,799,210",200726,鲁 泰Ｂ,1997/8/19,"393,875,096","275,560,796",华东,山东,淄博市,C 制造业,www.lttc.com.cn
000727,华东科技,南京华东电子信息科技股份有限公司,"NANJING HUADONG ELECTRONICS INFORMATION & TECHNOLOGY CO.,LTD",江苏省南京经济技术开发区恒通大道19-1号,727,华东科技,1997/5/20,"2,264,783,490","358,146,018",,,,0,0,华东,江苏,南京市,C 制造业,www.hdeg.com
000728,国元证券,国元证券股份有限公司,GUOYUAN SECURITIES COMPANY LIMITED,安徽省合肥市梅山路18号,728,国元证券,1997/6/16,"1,964,100,000","1,964,100,000",,,,0,0,华东,安徽,合肥市,J 金融业,www.gyzq.com.cn
000729,燕京啤酒,北京燕京啤酒股份有限公司,"BEIJING YANJING BREWERY CO.,LTD",北京市顺义区双河路9号,729,燕京啤酒,1997/7/16,"2,818,539,341","2,509,339,569",,,,0,0,华北,北京,北京市,C 制造业,www.yanjing.com.cn
000731,四川美丰,四川美丰化工股份有限公司,"SICHUAN MEIFENG CHEMICAL INDUSTRY CO., LTD",四川省射洪县太和镇新阳街87号,731,四川美丰,1997/6/17,"591,484,352","591,484,352",,,,0,0,西南,四川,遂宁市,C 制造业,www.scmeif.com
000732,泰禾集团,泰禾集团股份有限公司,"THAIHOT GROUP CO.,LTD",福建省三明市梅列区徐碧,732,泰禾集团,1997/7/4,"1,244,450,720","1,015,605,355",,,,0,0,华东,福建,三明市,K 房地产,www.thaihot.com.cn
000733,振华科技,中国振华(集团)科技股份有限公司,"CHINA ZHENHUA(GROUP) SCIENCE& TECHNOLOGY CO.,LTD",贵州省贵阳市乌当区新添大道北段268号,733,振华科技,1997/7/3,"469,342,218","429,158,874",,,,0,0,西南,贵州,贵阳市,C 制造业,www.czst.com.cn
000735,罗 牛 山,罗牛山股份有限公司,"Luoniushan Co., Ltd.",海南省海口市人民大道50号,735,罗 牛 山,1997/6/11,"880,132,000","879,482,395",,,,0,0,华南,海南,海口市,A 农林牧渔,www.luoniushan.com
000736,中房地产,中房地产股份有限公司,China Real Estate Corperation Limited,重庆市江北区建新北路86号,736,中房地产,1997/4/25,"297,193,885","138,733,650",,,,0,0,西南,重庆,重庆市,K 房地产,www.china-propertyholding.com/inde/index.asp
000737,南风化工,南风化工集团股份有限公司,"NAFINE CHEMICAL INDUSTRY GROUP CO.,LTD",山西省运城市红旗东街376号,737,南风化工,1997/4/28,"548,760,000","548,743,573",,,,0,0,华北,山西,运城市,C 制造业,www.nafine.com
000738,中航动控,中航动力控制股份有限公司,"AVIC Aero-Engine Controls Co., Ltd.",江苏省无锡市滨湖区刘闾路33号,738,中航动控,1997/6/26,"1,145,642,349","1,145,627,049",,,,0,0,华东,江苏,无锡市,C 制造业,www.aaec.com.cn
000739,普洛药业,普洛药业股份有限公司,"Apeloa Pharmaceutical Co.,Ltd",浙江省东阳市横店江南路333号,739,普洛药业,1997/5/9,"1,146,869,310","753,942,038",,,,0,0,华东,浙江,金华市,C 制造业,www.apeloa.com
000748,长城信息,长城信息产业股份有限公司,"Greatwall Information Industry Co., Ltd.",湖南省长沙市高新技术产业开发区尖山路39号,748,长城信息,1997/7/4,"814,818,606","751,124,340",,,,0,0,华中,湖南,长沙市,C 制造业,www.gwi.com.cn
000750,国海证券,国海证券股份有限公司,"SEALAND SECURITIES CO., LTD.",广西壮族自治区桂林市辅星路13号,750,国海证券,1997/7/9,"2,810,361,315","2,310,359,065",,,,0,0,华南,广西,桂林市,J 金融业,www.ghzq.com.cn
000751,锌业股份,葫芦岛锌业股份有限公司,"HULUDAO ZINC INDUSTRY CO.,LTD",辽宁省葫芦岛市龙港区锌厂路24号,751,锌业股份,1997/6/26,"1,409,869,279","1,409,864,104",,,,0,0,东北,辽宁,葫芦岛市,C 制造业,www.hldxygf.com
000752,西藏发展,西藏银河科技发展股份有限公司,"TIBET GALAXY SCIENCE & TECHNOLOGY DEVELOPMENT CO.,LTD",西藏自治区拉萨市色拉路36号,752,西藏发展,1997/6/25,"263,758,491","263,734,891",,,,0,0,西南,西藏,拉萨市,C 制造业,
000753,漳州发展,福建漳州发展股份有限公司,"Fujian Zhangzhou Development Co.,Ltd",福建省漳州市胜利东路漳州发展广场,753,漳州发展,1997/6/26,"884,146,545","819,355,295",,,,0,0,华东,福建,漳州市,F 批发零售,www.zzdc.com.cn
000755,山西三维,山西三维集团股份有限公司,"SHANXI SANWEI GROUP CO.,LTD",山西省洪洞县赵城镇,755,山西三维,1997/6/27,"469,264,621","469,255,943",,,,0,0,华北,山西,临汾市,C 制造业,www.sxsanwei.com
000756,新华制药,山东新华制药股份有限公司,SHANDONG XINHUA PHARMACEUTICAL COMPANY LIMITED,山东省淄博市高新技术产业开发区化工区,756,新华制药,1997/8/6,"307,312,830","307,303,905",,,,0,0,华东,山东,淄博市,C 制造业,www.xhzy.com
000757,浩物股份,四川浩物机电股份有限公司,"SICHUAN HAOWU ELECTROMECHANICAL CO.,LTD.",四川省内江市市中区甜城大道经济技术开发区,757,浩物股份,1997/6/27,"451,621,156","312,787,320",,,,0,0,西南,四川,内江市,C 制造业,www.hwgf757.com
000758,中色股份,中国有色金属建设股份有限公司,"China Nonferrous Metal Industry""s Foreign Engineering and Construction Co., Ltd.",北京市丰台区西客站南广场驻京办一号楼B座,758,中色股份,1997/4/16,"984,689,212","901,498,058",,,,0,0,华北,北京,北京市,B 采矿业,www.nfc.com.cn
000759,中百集团,中百控股集团股份有限公司,"ZHONGBAI HOLDINGS GROUP CO.,LTD.",湖北省武汉市江汉区江汉路129号,759,中百集团,1997/5/19,"681,021,500","680,571,691",,,,0,0,华中,湖北,武汉市,F 批发零售,www.whzb.com
000760,斯太尔,斯太尔动力股份有限公司,Steyr Motors corp.,湖北省公安县斗湖堤镇荆江大道178号,760,斯太尔,1997/6/27,"771,844,628","331,593,208",,,,0,0,华中,湖北,荆州市,C 制造业,www.hbbothwin.cn
000761,本钢板材,本钢板材股份有限公司,"BENGANG STEEL PLATES CO.,LTD",辽宁省本溪市平山区钢铁路18号,761,本钢板材,1998/1/15,"2,736,000,000","2,736,000,000",200761,本钢板Ｂ,1997/7/8,"400,000,000","400,000,000",东北,辽宁,本溪市,C 制造业,
